symbol,from_address,status
cbETH,0xbe9895146f7af43049ca1c1ae358b0541ea49704,USD_alias_via_stable
eBTC,0x657e8c867d8b37dcc18fa4caead9c45eb088c642,USD_alias_via_stable
eUSDe,0x90d2af7d622ca3141efa4d8f1f24d86e5974cc8f,USD_alias_via_stable
ezETH,0xbf5495efe5db9ce00f80364c8b423567e58d2110,USD_alias_via_stable
frxUSD,0xcacd6fd266af91b8aed52accc382b4e165586e29,USD_alias_via_stable
fxSAVE,0x7743e50f534a7f9f1791dde7dcd89f7783eefc39,USD_alias_via_stable
fxUSD,0x085780639cc2cacd35e474e71f4d000e2405d8f6,USD_alias_via_stable
hgETH,0xc824a08db624942c5e5f330d56530cd1598859fd,USD_alias_via_stable
hwHLP,0x9fd7466f987fd4c45a5bbde22ed8aba5bc8d72d1,USD_alias_via_stable
iUSD,0x48f9e38f3070ad8945dfeae3fa70987722e3d89c,USD_alias_via_stable
inwstETHs,0x8e0789d39db454dbe9f4a77acef6dc7c69f6d552,USD_alias_via_stable
jrUSDe,0xc58d044404d8b14e953c115e67823784dea53d8f,USD_alias_via_stable
liUSD-1w,0x12b004719fb632f1e7c010c6f5d6009fb4258442,USD_alias_via_stable
lstRZR,0xb33f4b9c6f0624edeae8881c97381837760d52cb,USD_alias_via_stable
lvlUSD,0x7c1156e515aa1a2e851674120074968c905aaf37,USD_alias_via_stable
mAPOLLO,0x7cf9dec92ca9fd46f8d86e7798b72624bc116c05,USD_alias_via_stable
mBASIS,0x2a8c22e3b10036f3aef5875d04f8441d4188b656,USD_alias_via_stable
mBTC,0x007115416ab6c266329a03b09a8aa39ac2ef7d9d,USD_alias_via_stable
mEDGE,0xbb51e2a15a9158ebe2b0ceb8678511e063ab7a55,USD_alias_via_stable
mFARM,0xa19f6e0df08a7917f2f8a33db66d0af31ff5eca6,USD_alias_via_stable
mHYPER,0x9b5528528656dbc094765e2abb79f293c21191b9,USD_alias_via_stable
mMEV,0x030b69280892c888670edcdcd8b69fd8026a0bf3,USD_alias_via_stable
mRe7YIELD,0x87c9053c819bb28e0d73d33059e1b3da80afb0cf,USD_alias_via_stable
mUSD,0xaca92e438df0b2401ff60da7e4337b687a2435da,USD_alias_via_stable
mevBTC,0xb64c014307622eb15046c66ff71d04258f5963dc,USD_alias_via_stable
pUSDe,0xa62b204099277762d1669d283732dcc1b3aa96ce,USD_alias_via_stable
pufETH,0xd9a442856c234a39a81a089c06451ebaa4306a72,USD_alias_via_stable
pzETH,0x8c9532a60e0e7c6bbd2b2c1303f63ace1c3e9811,USD_alias_via_stable
rETH,0xae78736cd615f374d3085123a210448e74fc6393,USD_alias_via_stable
