reserve_id,chain_id,protocol_type,asset_address,asset_symbol,asset_decimals,total_supply_shares,total_borrow_shares,interest_accumulator,reserve_factor,irm_id,product,supply_cap,borrow_cap,max_liquidation_discount,liquidation_cooloff_time
0xEA79E49A076a75A9bF6013505C2B92eED69E4fe1,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,0.0,0.0,1.0,0.0,0x2fF731d425d2B0be3d9CC2123c5B412CA5119CA5,euler-rwa,100000000.0,9000000.0,0.15,1
0xEF1d264dDcF1ebc0485d31daEbE5C5698942F55F,1,euler_v2,0xbB51E2a15A9158EBE2b0Ceb8678511e063AB7a55,mEDGE,18,197.33370245890265,0.0,1.0,0.0,,,0.0,0.0,0.15,1
0xEc91B109817b20d4Ebd364A181666327194763F0,1,euler_v2,0x50Bd66D59911F5e086Ec87aE43C811e0D059DD11,sBOLD,18,1012437.0981531593,0.0,1.0,0.0,,k3-liquity-hub,10000000.0,inf,0.15,1
0xEd667E0DE292C040CF2183302c8DBDe1C06447d7,1,euler_v2,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,PYUSD,6,0.0,0.0,1.0111390100631736,0.0,0xc98b532a4Ed05862eDd7886CaCC5EE2bDE623F0C,alterscope-bedrock,inf,inf,0.13,1
0xF037eeEBA7729c39114B9711c75FbccCa4A343C8,1,euler_v2,0x35D8949372D46B7a3D5A56006AE77B215fc69bC0,USD0++,18,459065431.5452535,0.0,1.0,0.0,,usual-stability-loan,inf,inf,0.0,0
0xF0ee6229CB0c3ed8DA93cA49191c7261566783AF,1,euler_v2,0x3d7d6fdf07EE548B939A80edbc9B2256d0cdc003,srUSDe,18,510183.61292845267,460075.3379574155,1.0008394825090705,0.0,0x2F9E82B49b542736216DA531EBAC2b6B32f43060,frontier-strata,inf,inf,0.15,1
0xF21cB5fA9242De8270526F1C9717A9b91dd44F03,1,euler_v2,0x00000000eFE302BEAA2b3e6e1b18d08D69a9012a,AUSD,6,0.0,0.0,1.007482598890636,0.0,0x43F768906566fe61BFb373291BA49100C751c825,euler-yield,500000.0,450000.0,0.15,1
0xF2ec2d8fE1351bAFF31643855C0f4D1E63Bd1ce4,1,euler_v2,0x207F7205fd6c4b602Fa792C8b2B60e6006D4a0b8,PT-lvlUSD-25SEP2025,18,0.0,0.0,1.0,0.0,,frontier-level,inf,inf,0.15,1
0xF2ef3e32FCF4BfE21266727281B73F95Cd520411,1,euler_v2,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,6,3300.163484,783.1131749307474,1.022717847075826,0.0,0x66d56E8Acad6a8fb6914753317cD3277D458E540,frontier-pareto,inf,inf,0.15,1
0xF31280f6E33Aa53Ea23E1982B2071b688e3a9cA2,1,euler_v2,0x9Cf12ccd6020b6888e4D4C4e4c7AcA33c1eB91f8,USDaf,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xF4Bc4239eDca81ed0d305701CB18A5Fd82cd06Ca,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,1.0,0.0,1.008783898716333,0.0,0x66d56E8Acad6a8fb6914753317cD3277D458E540,frontier-level,inf,inf,0.15,1
0xF57F64426EfB4f39CCBCf8Ec3280F37578f1C792,1,euler_v2,0x5BaE9a5D67d1CA5b09B14c91935f635CFBF3b685,PT-USD0++-27MAR2025,18,0.0,0.0,1.0,0.0,,,20000000.0,inf,0.15,1
0xF5e27Cce3c82326616784638eF7201FDc242Bf89,1,euler_v2,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,weETH,18,0.0,0.0,1.0346316380458978,0.0,0x0f8A7308A574BB04A0EE0921E9D687F781cf577f,,inf,inf,0.06,1
0xF69FF7901E199AE4Fc354048DA09C23c7699716c,1,euler_v2,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,6,0.0,0.0,1.0111391236591964,0.0,0xc98b532a4Ed05862eDd7886CaCC5EE2bDE623F0C,alterscope-bedrock,inf,inf,0.13,1
0xF6E2EfDF175e7a91c8847dade42f2d39A9aE57D4,1,euler_v2,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,18,32.686099300652465,0.0,1.0,0.0,,,inf,inf,0.0,0
0xF75D18F76859764aBe4D13cA2eBaCeFF0b90b262,1,euler_v2,0x8CfEd6A728017A8641a213Bd9E2Ea6183dE275E8,PT-mAPOLLO-20NOV2025,6,2872968.414293,0.0,1.0,0.0,,frontier-mapollo,inf,inf,0.15,1
0xF7D166bBBBc9B955907418C4d14BA9C84E5fBDA0,1,euler_v2,0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0,wstETH,18,0.0,0.0,1.0,0.0,0x2e1DDd6e1449f0A5B142a509192578d8eF10066B,,2500.0,2500.0,0.0,1
0xF88d8dfD7aC39870Ed26Ea5F4b121225987Cb7FA,1,euler_v2,0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,mETH,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xFA5EbcDfE10c7b1E00993ed36D06C98C7A76C4eb,1,euler_v2,0x657d9ABA1DBb59e53f9F3eCAA878447dCfC96dCb,ynETHx,18,0.0,0.0,1.0031740175644257,0.1,0x07A5E132C3ad15d0AfFA837b1C0d329236f5Bf02,,inf,inf,0.1,1
0xFB13877fD7570A9cb397B0f0d78F9Bc39141FCDD,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xFB5Dc814304F378500f25113bfEc9857162f2006,1,euler_v2,0x2CA5f2C4300450D53214B00546795c1c07B89acB,PT-slvlUSD-25SEP2025,18,0.0,0.0,1.0,0.0,,,inf,inf,0.15,1
0xFBB9eaB19C9CF149F98A2d3f20BAB8da78cEbfc0,1,euler_v2,0x085780639CC2cACd35E474e71f4d000e2405d8f6,fxUSD,18,0.0,0.0,1.005101589362947,0.15,0x9984D1ec426b02f8b0386f8e92fc216ff27efE9c,,100.0,100.0,0.05,0
0xFBCc21fedd4C4e9097Ef1Baa65B7Ad386b59512D,1,euler_v2,0x48E502FBB6Ff2CC687d049150E2C8AdDC765A43a,PT-sUSDf-29JAN2026,18,5077989.81414599,0.0,1.0,0.0,,frontier-falcon,inf,inf,0.15,1
0xFEDea1AF4A0FF4013aAb4782cd316De587621aF2,1,euler_v2,0x4342B77fE3417Bcb09d0A4383301b0DC733C755B,s-USDC-WETH-Sa,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xFEFF0a00eB190aCa2790E1C5706BF91947cB6bEa,1,euler_v2,0xB07b9fDd62DC478E521E8bDe3630a777725B0eB4,PT-rsETH-26DEC2024,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xFa827C231062FA549143dF3C1b3584a016642630,1,euler_v2,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,6,0.0,0.0,1.0022594207519586,0.0,0x66d56E8Acad6a8fb6914753317cD3277D458E540,frontier-mhyper,inf,inf,0.15,1
0xFbd4F1d0B2AF661bD43ef6577966daa6587f0b7c,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,0.0,0.0,1.006593447910511,0.0,0x66d56E8Acad6a8fb6914753317cD3277D458E540,,inf,inf,0.15,1
0xFc1b4e3D8291746CCdEb813805C8912BBE0a7316,1,euler_v2,0xBEEF69Ac7870777598A04B2bd4771c71212E6aBc,steakLRT,18,0.0,0.0,1.0,0.0,,mev-capital-weth,7000.0,inf,0.0,0
0xFc323C1727853872A85098EA89a6882853B708dd,1,euler_v2,0xc944E90C64B2c07662A292be6244BDf05Cda44a7,GRT,18,23540.68976021,0.0,1.0,0.1,0xa04CE30E78ed5F2B158a957F66E91AE97332962b,alterscope-bedrock,inf,inf,0.13,1
0xFf09741C7a6C9fF3aA8a8d54Aa50812aFEf9C65E,1,euler_v2,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,rswETH,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xa020DeE164D92c48eD064B163cC93B582197346A,1,euler_v2,0x4956b52aE2fF65D74CA2d61207523288e4528f96,RLP,18,0.0,0.0,1.0,0.0,0x88BecE797fE31506da26DA0A8FcF98171e47524A,horizon-clearstar,10000000.0,9000000.0,0.15,1
0xa2f045eC60C624c46F1075FC589Df0f936F822C2,1,euler_v2,0x45804880De22913dAFE09f4980848ECE6EcbAf78,PAXG,18,0.0,0.0,1.0,0.1,0xa04CE30E78ed5F2B158a957F66E91AE97332962b,alterscope-bedrock,inf,inf,0.13,1
0xa3e0943d0196F76db58d3549C9a7528Ef4ac335F,1,euler_v2,0x271C616157e69A43B4977412A64183Cf110Edf16,sUSP,18,1413832.2093472185,0.0,1.0,0.0,,frontier-pareto,inf,inf,0.15,1
0xa4EddD4A14e9C6D29b899cF03F8642efCec167eD,1,euler_v2,0x57e114B691Db790C35207b2e685D4A43181e6061,ENA,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xa52EF44448273EABA27C38C47D1Ed9BB28ae2ece,1,euler_v2,0x8236a87084f8B84306f72007F36F2618A5634494,LBTC,8,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xa586Cb265563ff36dc1f912Ad9b06F7124BC6185,1,euler_v2,0x9a34eB848C06d438d8747060A383dd13cFf33317,PT-mEDGE-29JAN2026,6,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xa626c933E9fc8d37Cf2d8217F49309FDb0AA21c5,1,euler_v2,0xCcE7D12f683c6dAe700154f0BAdf779C0bA1F89A,PT-syrupUSDC-28AUG2025,6,0.0,0.0,1.0,0.0,,euler-yield,100000.0,inf,0.15,1
0xa630E0339ADb0B965c9c51E89e2625Fb74831F40,1,euler_v2,0x6c3ea9036406852006290770BEdFcAbA0e23A0e8,PYUSD,6,0.0,0.0,1.0,0.0,0x30196C4ff735E826a64438DfeFe1a195fbdf38E3,,inf,inf,0.105,1
0xa66957e58b60d6b92b850c8773a9ff9b0Ba96A65,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,435.009929,0.0,1.003220915317769,0.0,0xB896F28969a04202564E4EAa494A7253e0E6F3DC,,1000.0,900.0,0.15,1
0xa7A064f56FbcA60cBeD47eD3e13C4B945DEf7eC3,1,euler_v2,0xeC3b5e45dD278d5AB9CDB31754B54DB314e9D52a,PT-USDf-29JAN2026,18,1475239.8085719654,0.0,1.0,0.0,,frontier-falcon,inf,inf,0.15,1
0xa8610A2fAf63B7a73B6Fde41012a2FCf5C80E5F5,1,euler_v2,0x332A8ee60EdFf0a11CF3994b1b846BBC27d3DcD6,PT-cornLBTC-26DEC2024,8,0.0,0.0,1.0,0.0,,,175.0,inf,0.15,1
0xa8CC68e15D50c1c586b5B0D6e1D4D0Ef620fdd10,1,euler_v2,0x50D2C7992b802Eef16c04FeADAB310f31866a545,PT-eUSDE-29MAY2025,18,0.0,0.0,1.0,0.0,,stablecoin-maxi,10000000.0,0.0,0.1,1
0xa931C2DFDe979Bcf2c9A13033854Ed1e3107876b,1,euler_v2,0x90D2af7d622ca3141efA4d8f1F24d86E5974Cc8F,eUSDe,18,0.0,0.0,1.0,0.0,,,inf,inf,0.0,0
0xa94F9CE821C7bD57cc12991CB46ca19f5789278F,1,euler_v2,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,610594.558779,604836.1266461938,1.019491300440931,0.0,0x66d56E8Acad6a8fb6914753317cD3277D458E540,frontier-pareto,inf,inf,0.15,1
0xa96B72470f4193a4E637dE8BcC6a009d1DD360A2,1,euler_v2,0xdd50C053C096CB04A3e3362E2b622529EC5f2e8a,TBILL,6,0.0,0.0,1.0,0.0,,euler-prime,0.0,0.0,0.15,1
0xa992d3777282c44ee980E9B0ca9Bd0c0E4f737aF,1,euler_v2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,0.4138789358046162,0.0640795258915408,1.301333249675421,0.0,0x8d4d17373A3bEA4B490B808fb8f2024b21FA2728,re7-labs-basic,inf,inf,0.15,1
0xaE4D563FC348e0FC3697Ed940b23a86779e095C8,1,euler_v2,0x40D16FC0246aD3160Ccc09B8D0D3A2cD28aE6C2f,GHO,18,0.0,0.0,1.0110665749136445,0.1,0xc98b532a4Ed05862eDd7886CaCC5EE2bDE623F0C,alterscope-bedrock,inf,inf,0.13,1
0xaF5372792a29dC6b296d6FFD4AA3386aff8f9BB2,1,euler_v2,0x8292Bb45bf1Ee4d140127049757C2E0fF06317eD,RLUSD,18,131660356.7275874,91063232.33829574,1.0043355367518882,0.0,0xfBae5C06fce4ae4210CE73009d4F7CECC6C18BcC,sentora-rlusd,132000000.0,95000000.0,0.15,1
0xaabc07A47D2a63a9b06A7924a0780c2F3cAE7bf9,1,euler_v2,0xB10DA2F9147f9cf2B8826877Cd0c95c18A0f42dc,PT-cUSDO-20NOV2025,18,16665939.643290324,0.0,1.0,0.0,,euler-yield,120000000.0,inf,0.15,1
0xabBe766f216f689818C3A1f98647cE4E41495325,1,euler_v2,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,6,0.0,0.0,1.0,0.0,0x2fF731d425d2B0be3d9CC2123c5B412CA5119CA5,euler-rwa,100000000.0,9000000.0,0.15,1
0xad857E37bCdb3dD0712f5F3267D33ec1085F1a1d,1,euler_v2,0xE4d30cCF87Cb3E5E637b64A2EE21bD5d3901839A,PT-mHYPER-20NOV2025,6,4515355.083561,0.0,1.0,0.0,,frontier-mhyper,inf,inf,0.15,1
0xb02b07429477ed07a9fE70e24A6E2e2408C2D432,1,euler_v2,0x9B02ca5685E9C332b158c01459562a161c8e8ADf,PT-USDaf-13NOV2025,18,8429.74370580107,0.0,1.0,0.0,,frontier-asymmetry,inf,inf,0.15,1
