asset,shock,mode,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,Agent,118611984.67540513,118611984.67540513,2,483.8698735344568,11.53292527109561,0.015310022654804871
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.375,UB,119020683.46296008,119020182.50855622,2,486.60835579098665,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.35,Agent,118666426.3371337,118666426.3371337,2,484.23507343219984,11.909058427821702,0.014984231770095769
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.35,UB,119048126.29835561,119047624.97069377,2,486.79195522784045,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.325,Agent,118720898.56882901,118720898.56882901,2,484.6004111903541,12.285275196724143,0.014678209428421343
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.325,UB,119075569.13375117,119075067.43289882,2,486.9755546646942,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,Agent,118775401.3704906,118775401.3704906,2,484.9658868089198,12.661576045936137,0.014390199366065577
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.3,UB,119103011.9691467,119102509.89517115,2,487.1591541015479,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.275,Agent,118829934.74211808,118829934.74211808,2,485.33150028789686,13.037961441655108,0.014118647399807028
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.275,UB,119130454.80454221,119129952.35751064,2,487.3427535384017,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.25,Agent,118884498.68371087,118884498.68371087,2,485.6972516272853,13.414431848151088,0.013862173174617194
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.25,UB,119157897.63993776,119157394.81991713,2,487.5263529752556,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.225,Agent,118939093.19526862,118939093.19526862,2,486.06314082708496,13.790987727778694,0.013619546522278293
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.225,UB,119185340.4753333,119184837.28239046,2,487.7099524121093,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,Agent,118993718.27679077,118993718.27679077,2,486.429167887296,14.16762954098497,0.01338966757622702
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.2,UB,119212783.31072882,119212279.74493049,2,487.89355184896306,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.175,Agent,119048373.92827693,119048373.92827693,2,486.79533280791844,14.544357746320417,0.013171549964312168
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.175,UB,119240226.14612436,119239722.20753707,2,488.07715128581685,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.15,Agent,119103060.1497266,119103060.1497266,2,487.1616355889522,14.921172800448968,0.012964306537631625
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.15,UB,119267668.98151991,119267164.67021,2,488.2607507226706,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.125,Agent,119157776.94113936,119157776.94113936,2,487.5280762303974,15.298075158156374,0.0127671371999472
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.125,UB,119295111.81691544,119294607.1329492,2,488.44435015952445,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,Agent,119212524.30251473,119212524.30251473,2,487.89465473225385,15.675065272362268,0.012579318485597034
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.1,UB,119322554.65231098,119322049.5957545,2,488.6279495963782,,
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.075,Agent,119267302.23385228,119267302.23385228,2,488.2613710945218,16.05214359412576,0.01240019459969642
0x437cc33344a0b27a429f795ff6b469c72698b291,-0.075,UB,119349997.48770651,119349492.0586257,2,488.81154903323204,,
