asset,shock,family,level,d_liquidated_usd,d_bad_debt_usd,d_liqs
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.4,ltv_targeted,+0.15,-2644.1356423972175,0.0,-1
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.375,ltv_targeted,+0.15,-2644.1356423972175,0.0,-1
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.35,ltv_targeted,+0.15,-2591.76803790126,-0.00013734353706240654,-1
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.325,ltv_targeted,+0.15,3.3403581976890564,-489.57007118384354,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.3,ltv_targeted,+0.15,-9167.837667364627,-9737.87026779307,-5
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.275,ltv_targeted,+0.15,-182501.11198278517,-12629.506482497323,-4
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.25,ltv_targeted,+0.15,-190648.77029925073,-3110.311217809329,-5
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.225,ltv_targeted,+0.15,-38151.403447595425,-10710.454542727675,-2
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.2,ltv_targeted,+0.15,-54537.50673685223,-55366.45455520984,-4
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.175,ltv_targeted,+0.15,-759002.7564407517,-57636.59735056409,-9
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.15,ltv_targeted,+0.15,-449752.43550413195,-28982.57988939964,-6
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.125,ltv_targeted,+0.15,-126317.48818814312,-26.889626185788075,-4
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.1,ltv_targeted,+0.15,-378.089498561807,-20.133066915961535,-1
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.075,ltv_targeted,+0.15,-373.44332599896006,0.0,-1
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.05,ltv_targeted,+0.15,0.0,0.0,0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.025,ltv_targeted,+0.15,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.4,ltv_targeted,+0.15,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.375,ltv_targeted,+0.15,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.35,ltv_targeted,+0.15,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.325,ltv_targeted,+0.15,0.0,0.0,0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.3,ltv_targeted,+0.15,0.0,0.0,0
