asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.325,Agent,bonus,0.05,57624415.912127025,57624415.912127025,101,7657409.335868662,1754328.2297892985,0.15146341049357462
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.3,Agent,bonus,0.05,60223936.15507365,60223936.15507365,99,8424296.698106583,1418227.4798775886,0.18070757090649697
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.275,Agent,bonus,0.05,63168889.699387036,63168889.699387036,89,8952666.063332776,1141906.0845539537,0.19329666088023376
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.25,Agent,bonus,0.05,71389945.35805137,71389945.35805137,83,4369367.703977986,867844.9584034313,0.23372910555942014
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.225,Agent,bonus,0.05,75231782.24740347,75231782.24740347,70,4303192.41842445,622574.1867069738,0.31850817921410607
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.2,Agent,bonus,0.05,79546341.5714569,79546341.5714569,61,3918118.098041638,390174.674081583,0.4734459919949803
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.175,Agent,bonus,0.05,83609417.77597153,83609417.77597153,55,3900430.3637192785,208566.3538776275,0.8731105300973591
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.15,Agent,bonus,0.05,88695858.34891832,88695858.34891832,40,2977975.826481239,75055.12710026531,1.8118454023327355
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.125,Agent,bonus,0.05,94294850.19293745,94294850.19293745,25,1608005.5930910609,43202.98434581289,1.4970695986497704
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.1,Agent,bonus,0.05,99522686.17729521,99522686.17729521,16,762587.6934845854,24649.026412109757,1.4703332917257252
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.075,Agent,bonus,0.05,104091282.1968582,104091282.1968582,10,749187.1779442312,12.308150129090288,1924.5111316604136
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.05,Agent,bonus,0.05,108806054.6430428,108806054.6430428,3,731680.4846135087,0.0,1.0
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,-0.025,Agent,bonus,0.05,114400868.09875265,114400868.09875265,2,815.1325504997062,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.4,Agent,bonus,0.05,108060674.29583722,108060674.29583722,3,62106.11742556145,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.375,Agent,bonus,0.05,108739684.32116011,108739684.32116011,3,62343.361704642164,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.35,Agent,bonus,0.05,109422374.17743996,109422374.17743996,2,62580.685585095176,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.325,Agent,bonus,0.05,110108743.8356496,110108743.8356496,2,62818.11809409463,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.3,Agent,bonus,0.05,110798361.47942705,110798361.47942705,3,63487.47559354859,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.275,Agent,bonus,0.05,111492084.75246035,111492084.75246035,3,63731.11439553101,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.25,Agent,bonus,0.05,112189487.80683175,112189487.80683175,3,63974.88241769239,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.225,Agent,bonus,0.05,112953985.15144588,112953985.15144588,2,804.2707554766016,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.2,Agent,bonus,0.05,113658984.85203598,113658984.85203598,2,811.2136756090682,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.175,Agent,bonus,0.05,114368020.34599067,114368020.34599067,1,462.27378947163896,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.15,Agent,bonus,0.05,115080380.61651292,115080380.61651292,1,468.46789412019456,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.125,Agent,bonus,0.05,115796419.92236336,115796419.92236336,2,474.96391356302024,0.5733153348643842,21.164355570659826
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.1,Agent,bonus,0.05,116516140.03065594,116516140.03065594,2,477.8264234453468,3.8882563887671315,3.554042985044167
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.075,Agent,bonus,0.05,117239540.03767213,117239540.03767213,2,480.69752176458724,7.2064436968669865,2.150072363678781
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.05,Agent,bonus,0.05,117966619.94306304,117966619.94306304,2,483.57720852074186,10.528226237588633,1.629926396320194
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.025,Agent,bonus,0.05,118697379.74649182,118697379.74649182,2,486.4654837138105,13.853940754505377,1.3582375349852527
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.4,Agent,bonus,0.05,69844205.20998545,69844205.20998545,101,4528477.451598137,698565.4867253664,0.2945785818975345
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.375,Agent,bonus,0.05,72230543.69159819,72230543.69159819,93,4535441.354993944,515554.5605504035,0.40280966935525125
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.35,Agent,bonus,0.05,74514910.27915366,74514910.27915366,85,4669093.154001536,382797.75368965795,0.5505192742505373
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.325,Agent,bonus,0.05,76844759.14407219,76844759.14407219,85,4797644.598416805,284629.1449269275,0.654430190016627
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.3,Agent,bonus,0.05,81808608.28920129,81808608.28920129,69,2365968.0997128435,187658.31994153236,0.5140835738272438
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.275,Agent,bonus,0.05,84302378.64323427,84302378.64323427,66,2458374.6792001105,111653.32872974599,0.8418096252928707
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.25,Agent,bonus,0.05,86930896.79535097,86930896.79535097,56,2462852.4024947933,63799.51649556899,1.1891132755220535
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.225,Agent,bonus,0.05,90497385.54273798,90497385.54273798,44,1584240.395042182,36034.960607095316,1.3722454208281736
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.2,Agent,bonus,0.05,93383893.14162193,93383893.14162193,33,1450032.6356893498,18817.425990594555,2.1311067004167077
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.175,Agent,bonus,0.05,96918756.7044948,96918756.7044948,25,736860.722259544,7178.202330916205,3.2750407032373468
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.15,Agent,bonus,0.05,100287291.9159891,100287291.9159891,17,259139.99652094406,1386.2632273174338,8.799547097964894
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.125,Agent,bonus,0.05,103328170.32667686,103328170.32667686,11,179151.3547120485,489.1618692586067,14.671176365280681
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.1,Agent,bonus,0.05,106446766.33970253,106446766.33970253,8,95986.02342137128,21.268523800616066,52.49189147506905
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.075,Agent,bonus,0.05,109635042.052457,109635042.052457,5,17643.468867169187,21.01958181328727,39.94283001950914
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.05,Agent,bonus,0.05,112820734.12571564,112820734.12571564,3,16854.944952972903,20.50036434060342,2.639212141192722
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.025,Agent,bonus,0.05,116096998.61347492,116096998.61347492,2,465.20636331585797,18.902190430430238,1.0917868691627695
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.4,Agent,bonus,0.05,85479335.20649356,85479335.20649356,26,9258177.04393733,30513.231809948844,9.104740358632904
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.375,Agent,bonus,0.05,86768679.70868753,86768679.70868753,22,9365992.491677763,25215.8594648771,9.419930577266916
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.35,Agent,bonus,0.05,88032550.72211394,88032550.72211394,22,9519267.210517978,19886.865372842818,9.760032972145227
