asset,shock,mode,family,level,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.175,Agent,ltv_targeted,-0.10,114367658.10048021,114367658.10048021,2,824.5192999323522,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.15,Agent,ltv_targeted,-0.10,115080380.61651292,115080380.61651292,1,468.46789412019456,0.0,1.0
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.125,Agent,ltv_targeted,-0.10,115796419.92236336,115796419.92236336,2,474.96391356302024,0.5733153348643842,21.164355570659826
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.1,Agent,ltv_targeted,-0.10,116516140.03065594,116516140.03065594,2,477.8264234453468,3.8882563887671315,3.554042985044167
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.075,Agent,ltv_targeted,-0.10,117239540.03767213,117239540.03767213,2,480.69752176458724,7.2064436968669865,2.150072363678781
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.05,Agent,ltv_targeted,-0.10,117966619.94306304,117966619.94306304,2,483.57720852074186,10.528226237588633,1.629926396320194
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.025,Agent,ltv_targeted,-0.10,118697379.74649182,118697379.74649182,2,486.4654837138105,13.853940754505377,1.3582375349852527
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.4,Agent,ltv_targeted,-0.10,69553600.83053584,69553600.83053584,108,4551675.678902927,965971.6388701847,0.5096235921703095
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.375,Agent,ltv_targeted,-0.10,71958825.75976221,71958825.75976221,97,4555654.043902966,767059.8034773833,0.6222176380087847
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.35,Agent,ltv_targeted,-0.10,74283353.8418951,74283353.8418951,90,4747545.379739114,535901.9652106324,0.8051147812819175
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.325,Agent,ltv_targeted,-0.10,76662026.86239627,76662026.86239627,88,4848333.614242434,416672.4107771753,0.8683038174577632
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.3,Agent,ltv_targeted,-0.10,81199933.00003642,81199933.00003642,73,2851266.5738596185,311035.13495957135,0.9166502620636756
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.275,Agent,ltv_targeted,-0.10,83721983.41578971,83721983.41578971,70,2940561.8464538534,209861.38892053638,1.2514489245438398
