asset,shock,mode,tvl_initial,tvl_final,total_liquidations,total_liquidated_value_usd,final_bad_debt_usd,liquidation_efficiency
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.2,UB,116487182.46086918,116365797.13157211,5,121381.64725130018,,
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.1,Agent,116516140.03065594,116516140.03065594,2,477.8264234453468,3.8882563887671315,0.035540429850441674
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.1,UB,117959754.22738114,117959260.18998338,2,483.56003164691384,,
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.05,Agent,117966619.94306304,117966619.94306304,2,483.57720852074186,10.528226237588633,0.01629926396320194
0x68749665ff8d2d112fa859aa293f07a622782f38,-0.05,UB,118696040.11063714,118695539.80813935,2,486.46118949535355,,
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.4,Agent,69582254.87073976,69582254.87073976,101,4531489.624433114,957503.6531360926,0.5024359890814981
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.4,UB,92453699.33550274,90673844.9973247,46,1710523.5196312177,,
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.3,Agent,81680416.0329547,81680416.0329547,69,2372195.566590468,309623.1093104773,0.7351724816777592
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.3,UB,99198356.00010034,98751813.02069905,25,433249.82274655916,,
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.2,Agent,93353062.40225162,93353062.40225162,33,1459877.7655082077,39803.03554207008,0.017982169465982013
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.2,UB,105943012.66469792,105816758.50524063,9,125502.27478108836,,
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.1,Agent,106445915.5422359,106445915.5422359,8,96461.30258792981,396.7868238917069,0.04963198374023919
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.1,UB,112687669.32929552,112670723.97339545,4,16924.645253376984,,
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.05,Agent,112820734.12571564,112820734.12571564,3,16854.944952972903,20.50036434060342,0.02639212141192722
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.05,UB,116059997.66159432,116059513.80558483,2,464.9008691290749,,
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.4,Agent,85463577.68498391,85463577.68498391,26,9260998.970878897,43448.82637800844,0.06757112480252861
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.4,UB,105823109.46061508,100240029.55133641,21,3930662.8102807123,,
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.3,Agent,90787946.67025161,90787946.67025161,14,9665060.554731555,2193.531126271729,0.4441638760850406
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.3,UB,109225413.5939346,104309258.62362833,13,3698692.7416508226,,
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.2,Agent,105714635.64795628,105714635.64795628,6,747006.9513847302,0.0,1.0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.2,UB,112627717.7272541,107624813.34602599,10,4220774.1280942,,
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.1,Agent,112786886.8955745,112786886.8955745,1,457.5655042260405,6.550856878453402,0.022297172956685075
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.1,UB,116030021.86057359,111319735.3849371,5,4688897.40364428,,
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.05,Agent,116069444.62902811,116069444.62902811,2,473.7507957029952,11.801920163196813,0.014835084302918366
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.05,UB,117731173.92723338,116511396.84898861,4,1219762.6242759712,,
