asset,shock,ub_liquidated_usd,ub_liqs,ag_liquidated_usd,ag_liqs,ag_bad_debt,ag_eff
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.35,1518444.8835664836,35,4725231.38461138,85,513414.23837823275,0.7848681092653272
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.3,433249.82274655916,25,2372195.566590468,69,309623.1093104773,0.7351724816777592
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.25,276130.08658056875,18,2469059.5525270277,56,127437.2852007629,0.011541788748919297
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.2,125502.27478108836,9,1459877.7655082077,33,39803.03554207008,0.017982169465982013
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.15,17806.065285933015,5,262669.427943613,17,6328.528865882233,0.0326776955792257
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.1,16924.645253376984,4,96461.30258792981,8,396.7868238917069,0.04963198374023919
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,-0.05,464.9008691290749,2,16854.944952972903,3,20.50036434060342,0.02639212141192722
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.4,3930662.8102807123,21,9260998.970878897,26,43448.82637800844,0.06757112480252861
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.35,4198307.370162271,18,9519324.753319813,22,23462.49002555637,0.0842778780366199
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.3,3698692.7416508226,13,9665060.554731555,14,2193.531126271729,0.4441638760850406
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.25,3957102.1432511713,11,756947.0230099113,11,0.0,1.0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.2,4220774.1280942,10,747006.9513847302,6,0.0,1.0
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.15,4482414.960118629,6,5718.243317250243,2,1.429471785428552,0.0964015268895745
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.1,4688897.40364428,5,457.5655042260405,1,6.550856878453402,0.022297172956685075
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,-0.05,1219762.6242759712,4,473.7507957029952,2,11.801920163196813,0.014835084302918366
0x8236a87084f8b84306f72007f36f2618a5634494,-0.4,4038684.662651539,49,4634139.813500701,87,1298672.997204458,0.4227989152527325
